基金全称,易方达上证科创板成长交易型开放式指数证券投资基金发起式联接基金,基金简称,易方达上证科创板成长ETF联接发起式A
基金代码,019702（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年12月25日,成立日期/规模,2024年01月04日 / 0.104亿份
资产规模,0.44亿元（截止至：2025年06月30日）份额规模0.3109亿份（截止至：2025年06月30日）,份额规模,0.3109亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,国信证券
基金经理人,李树建,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,上证科创板成长指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,上证科创板成长指数
