基金全称,博时创新精选混合型证券投资基金,基金简称,博时创新精选混合A
基金代码,011486（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年02月25日,成立日期/规模,2021年03月09日 / 39.770亿份
资产规模,6.93亿元（截止至：2025年06月30日）份额规模9.9503亿份（截止至：2025年06月30日）,份额规模,9.9503亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,工商银行
基金经理人,肖瑞瑾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*50%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*30%,跟踪标的,该基金无跟踪标的
