基金全称,汇安裕阳三年持有期混合型证券投资基金,基金简称,汇安裕阳三年持有期混合
基金代码,168601（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年08月08日,成立日期/规模,2018年09月27日 / 2.143亿份
资产规模,1.87亿元（截止至：2025年06月30日）份额规模1.5463亿份（截止至：2025年06月30日）,份额规模,1.5463亿份（截止至：2025年06月30日）
基金管理人,汇安基金,基金托管人,光大银行
基金经理人,邹唯,成立来分红,每份累计0.62元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*70%+中证港股通综合指数收益率*10%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
