基金全称,国泰黄金交易型开放式证券投资基金联接基金,基金简称,国泰黄金ETF联接C
基金代码,004253（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2016年04月05日,成立日期/规模,2017年05月02日 / --
资产规模,90.11亿元（截止至：2025年06月30日）份额规模33.1207亿份（截止至：2025年06月30日）,份额规模,33.1207亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,工商银行
基金经理人,艾小军,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.35%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款税后收益率*5%,跟踪标的,黄金9999
