基金全称,前海开源周期优选灵活配置混合型证券投资基金,基金简称,前海开源周期优选混合C
基金代码,003858（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年12月19日,成立日期/规模,2017年01月25日 / 2.860亿份
资产规模,0.31亿元（截止至：2025年06月30日）份额规模0.1542亿份（截止至：2025年06月30日）,份额规模,0.1542亿份（截止至：2025年06月30日）
基金管理人,前海开源基金,基金托管人,交通银行
基金经理人,刘宏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.10%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×70%+中证全债指数收益率×30%,跟踪标的,该基金无跟踪标的
