基金全称,平安匠心优选混合型证券投资基金,基金简称,平安匠心优选混合A
基金代码,008949（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年02月03日,成立日期/规模,2020年02月21日 / 53.447亿份
资产规模,18.93亿元（截止至：2025年09月30日）份额规模12.0147亿份（截止至：2025年09月30日）,份额规模,12.0147亿份（截止至：2025年09月30日）
基金管理人,平安基金,基金托管人,中国银行
基金经理人,张淼,成立来分红,每份累计0.24元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×75%+中证全债指数收益率×25%,跟踪标的,该基金无跟踪标的
