基金全称,宝盈人工智能主题股票型证券投资基金,基金简称,宝盈人工智能股票A
基金代码,005962（前端）基金类型股票型,基金类型,股票型
发行日期,2018年06月20日,成立日期/规模,2018年08月15日 / 2.954亿份
资产规模,6.11亿元（截止至：2025年06月30日）份额规模2.1543亿份（截止至：2025年06月30日）,份额规模,2.1543亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,工商银行
基金经理人,张天闻,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证人工智能主题指数收益率×60% +恒生综合指数收益率×25% +中证综合债券指数收益率×15%,跟踪标的,该基金无跟踪标的
