基金全称,银华成长先锋混合型证券投资基金,基金简称,银华成长先锋混合
基金代码,180020（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2010年08月26日,成立日期/规模,2010年10月08日 / 31.403亿份
资产规模,1.22亿元（截止至：2025年06月30日）份额规模1.0761亿份（截止至：2025年06月30日）,份额规模,1.0761亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,工商银行
基金经理人,王利刚,成立来分红,每份累计0.03元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+中国债券总指数收益率*40%,跟踪标的,该基金无跟踪标的
