基金全称,华夏量化优选股票型证券投资基金,基金简称,华夏量化优选股票C
基金代码,014188（前端）基金类型股票型,基金类型,股票型
发行日期,2021年11月18日,成立日期/规模,2021年12月14日 / 22.899亿份
资产规模,1.90亿元（截止至：2025年06月30日）份额规模2.1712亿份（截止至：2025年06月30日）,份额规模,2.1712亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,恒丰银行
基金经理人,袁英杰,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.70%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*90%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
