基金全称,泰康产业升级混合型证券投资基金,基金简称,泰康产业升级混合C
基金代码,006905（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年04月15日,成立日期/规模,2019年05月17日 / 3.117亿份
资产规模,2.44亿元（截止至：2025年06月30日）份额规模1.4527亿份（截止至：2025年06月30日）,份额规模,1.4527亿份（截止至：2025年06月30日）
基金管理人,泰康基金,基金托管人,建设银行
基金经理人,薛小波,成立来分红,每份累计0.17元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,跟踪标的,该基金无跟踪标的
