基金全称,新华策略精选股票型证券投资基金,基金简称,新华策略精选股票A
基金代码,001040（前端）基金类型股票型,基金类型,股票型
发行日期,2015年03月09日,成立日期/规模,2015年03月31日 / 40.699亿份
资产规模,3.28亿元（截止至：2025年06月30日）份额规模2.1448亿份（截止至：2025年06月30日）,份额规模,2.1448亿份（截止至：2025年06月30日）
基金管理人,新华基金,基金托管人,农业银行
基金经理人,赵强,成立来分红,每份累计0.44元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+上证国债指数收益率*20%,跟踪标的,该基金无跟踪标的
