基金全称,中金鑫瑞优选一年持有期灵活配置混合型证券投资基金,基金简称,中金鑫瑞优选一年持有混合
基金代码,011703（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2021年06月07日,成立日期/规模,2021年07月13日 / 2.119亿份
资产规模,0.95亿元（截止至：2025年06月30日）份额规模1.0557亿份（截止至：2025年06月30日）,份额规模,1.0557亿份（截止至：2025年06月30日）
基金管理人,中金基金,基金托管人,兴业银行
基金经理人,丁杨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*40%+恒生指数收益率(使用估值汇率调整)*5%+中债-综合全价(总值)指数收益率*55%,跟踪标的,该基金无跟踪标的
