基金全称,富国中小盘精选混合型证券投资基金,基金简称,富国中小盘精选混合A
基金代码,000940（前端）、000941（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2014年12月25日,成立日期/规模,2015年01月23日 / 20.782亿份
资产规模,17.29亿元（截止至：2025年06月30日）份额规模5.492亿份（截止至：2025年06月30日）,份额规模,5.492亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,建设银行
基金经理人,曹晋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证700指数收益率*80%+中债综合财富指数收益率*20%,跟踪标的,该基金无跟踪标的
