基金全称,鹏华沪深港互联网股票型证券投资基金,基金简称,鹏华沪深港互联网股票
基金代码,004292（前端）基金类型股票型,基金类型,股票型
发行日期,2017年03月06日,成立日期/规模,2017年04月06日 / 4.499亿份
资产规模,0.79亿元（截止至：2025年06月30日）份额规模0.4434亿份（截止至：2025年06月30日）,份额规模,0.4434亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,农业银行
基金经理人,王海青,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证沪港深互联网指数×80%+中证综合债指数收益率×20%,跟踪标的,该基金无跟踪标的
