基金全称,交银施罗德启盛混合型证券投资基金,基金简称,交银启盛混合A
基金代码,017794（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年03月06日,成立日期/规模,2023年03月30日 / 4.410亿份
资产规模,1.10亿元（截止至：2025年06月30日）份额规模1.0978亿份（截止至：2025年06月30日）,份额规模,1.0978亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,浦发银行
基金经理人,封晴,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率*5%+中证综合债券指数收益率*25%,跟踪标的,该基金无跟踪标的
