基金全称,华商龙头优势混合型证券投资基金,基金简称,华商龙头优势混合
基金代码,008555（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年04月27日,成立日期/规模,2020年05月22日 / 26.256亿份
资产规模,0.94亿元（截止至：2025年06月30日）份额规模1.0729亿份（截止至：2025年06月30日）,份额规模,1.0729亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,中国银行
基金经理人,彭雾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证龙头企业指数收益率*60%+中债总全价指数收益率*30%+中证港股通综合指数收益率*10%,跟踪标的,该基金无跟踪标的
