基金全称,惠升惠泽灵活配置混合型发起式证券投资基金,基金简称,惠升惠泽混合C
基金代码,008419（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年12月06日,成立日期/规模,2019年12月17日 / 10.012亿份
资产规模,8.03亿元（截止至：2025年06月30日）份额规模8.3979亿份（截止至：2025年06月30日）,份额规模,8.3979亿份（截止至：2025年06月30日）
基金管理人,惠升基金,基金托管人,招商银行
基金经理人,孙庆、钱睿南、徐玉良,成立来分红,每份累计0.18元（1次）
管理费率,1.20%（每年）,托管费率,0.10%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×70%+中证港股通综合指数收益率×10%+中债综合全价指数收益率×20%,跟踪标的,该基金无跟踪标的
