基金全称,中加中证500指数增强型证券投资基金,基金简称,中加中证500指数增强C
基金代码,010154（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年09月14日,成立日期/规模,2020年09月27日 / 2.050亿份
资产规模,0.15亿元（截止至：2025年06月30日）份额规模0.1542亿份（截止至：2025年06月30日）,份额规模,0.1542亿份（截止至：2025年06月30日）
基金管理人,中加基金,基金托管人,中信建投
基金经理人,钟伟,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,跟踪标的,中证500指数
