基金全称,华夏新能源车龙头混合型发起式证券投资基金,基金简称,华夏新能源车龙头混合发起式C
基金代码,013396（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月23日,成立日期/规模,2021年09月15日 / 1.156亿份
资产规模,2.95亿元（截止至：2025年06月30日）份额规模3.5773亿份（截止至：2025年06月30日）,份额规模,3.5773亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,招商银行
基金经理人,杨宇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新能源汽车产业指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,跟踪标的,该基金无跟踪标的
