基金全称,同泰数字经济主题股票型证券投资基金,基金简称,同泰数字经济股票C
基金代码,012697（前端）基金类型股票型,基金类型,股票型
发行日期,2021年07月07日,成立日期/规模,2021年07月26日 / 2.346亿份
资产规模,1.83亿元（截止至：2025年09月30日）份额规模1.6227亿份（截止至：2025年09月30日）,份额规模,1.6227亿份（截止至：2025年09月30日）
基金管理人,同泰基金,基金托管人,国投证券
基金经理人,陈宗超,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证沪港深数字经济主题指数收益率*80%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
