基金全称,华宝中证科创创业50交易型开放式指数证券投资基金发起式联接基金,基金简称,华宝中证科创创业50ETF联接C
基金代码,013318（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年08月09日,成立日期/规模,2021年08月25日 / 1.615亿份
资产规模,0.38亿元（截止至：2025年06月30日）份额规模0.5704亿份（截止至：2025年06月30日）,份额规模,0.5704亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,工商银行
基金经理人,胡洁,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证科创创业50指数收益率*95%+人民币银行活期存款利率(税后)*5%,跟踪标的,中证科创创业50指数
