基金全称,中信建投趋势领航两年持有期混合型证券投资基金,基金简称,中信建投趋势领航两年持有混合C
基金代码,016266（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年09月07日,成立日期/规模,2022年10月11日 / 2.602亿份
资产规模,0.12亿元（截止至：2025年06月30日）份额规模0.1003亿份（截止至：2025年06月30日）,份额规模,0.1003亿份（截止至：2025年06月30日）
基金管理人,中信建投基金,基金托管人,招商银行
基金经理人,栾江伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率(使用估值汇率折算)*10%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
