基金全称,鹏华弘和灵活配置混合型证券投资基金,基金简称,鹏华弘和混合C
基金代码,001326（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月22日,成立日期/规模,2015年05月25日 / 23.315亿份
资产规模,0.51亿元（截止至：2025年06月30日）份额规模0.3982亿份（截止至：2025年06月30日）,份额规模,0.3982亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,建设银行
基金经理人,刘方正,成立来分红,每份累计0.21元（4次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,0.05%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,一年期银行定期存款利率(税后)+3%,跟踪标的,该基金无跟踪标的
