基金全称,汇添富北证50成份指数型证券投资基金,基金简称,汇添富北证50成份指数A
基金代码,017519（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年11月29日,成立日期/规模,2022年12月27日 / 4.997亿份
资产规模,2.57亿元（截止至：2025年06月30日）份额规模1.7987亿份（截止至：2025年06月30日）,份额规模,1.7987亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,建设银行
基金经理人,晏阳,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,北证50成份指数
