基金全称,南方大数据300指数证券投资基金,基金简称,南方大数据300A
基金代码,001420（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月15日,成立日期/规模,2015年06月24日 / 21.150亿份
资产规模,2.17亿元（截止至：2025年06月30日）份额规模1.3811亿份（截止至：2025年06月30日）,份额规模,1.3811亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,建设银行
基金经理人,解锐,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,大数据300指数收益率×95%+银行人民币活期存款利率(税后)×5%,跟踪标的,大数据300指数
