基金全称,诺安先锋混合型证券投资基金,基金简称,诺安先锋混合C
基金代码,012621（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2005年11月03日,成立日期/规模,2021年06月15日 / --
资产规模,0.47亿元（截止至：2025年06月30日）份额规模0.1787亿份（截止至：2025年06月30日）,份额规模,0.1787亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,工商银行
基金经理人,杨谷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率80%+中证全债指数收益率20%,跟踪标的,该基金无跟踪标的
