基金全称,长盛城镇化主题混合型证券投资基金,基金简称,长盛城镇化主题混合A
基金代码,000354（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2013年10月14日,成立日期/规模,2013年11月12日 / 20.115亿份
资产规模,2.76亿元（截止至：2025年09月30日）份额规模1.0116亿份（截止至：2025年09月30日）,份额规模,1.0116亿份（截止至：2025年09月30日）
基金管理人,长盛基金,基金托管人,中国银行
基金经理人,代毅,成立来分红,每份累计0.65元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
