基金全称,广发国证半导体芯片交易型开放式指数证券投资基金联接基金,基金简称,广发国证半导体芯片ETF联接C
基金代码,012630（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年07月12日,成立日期/规模,2021年08月09日 / 5.549亿份
资产规模,9.68亿元（截止至：2025年06月30日）份额规模13.0301亿份（截止至：2025年06月30日）,份额规模,13.0301亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,工商银行
基金经理人,曹世宇,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,国证半导体芯片指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,国证半导体芯片指数
