基金全称,博时半导体主题混合型证券投资基金,基金简称,博时半导体主题混合C
基金代码,012651（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年06月28日,成立日期/规模,2021年07月20日 / 7.484亿份
资产规模,7.94亿元（截止至：2025年06月30日）份额规模9.1309亿份（截止至：2025年06月30日）,份额规模,9.1309亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,交通银行
基金经理人,肖瑞瑾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指半导体产品与设备指数收益率*60%+中证港股通综合指数(CNY)收益率*20%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
