基金全称,大成景禄灵活配置混合型证券投资基金,基金简称,大成景禄灵活配置混合A
基金代码,003373（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年09月26日,成立日期/规模,2016年09月29日 / 8.003亿份
资产规模,0.30亿元（截止至：2025年06月30日）份额规模0.1775亿份（截止至：2025年06月30日）,份额规模,0.1775亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,招商银行
基金经理人,李煜,成立来分红,每份累计0.15元（1次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*55%+中证综合债券指数收益率*45%,跟踪标的,该基金无跟踪标的
