基金全称,博时科创主题灵活配置混合型证券投资基金(LOF),基金简称,博时科创主题灵活配置混合(LOF)A
基金代码,501082（主代码）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年06月24日,成立日期/规模,2019年06月27日 / 9.968亿份
资产规模,3.02亿元（截止至：2025年06月30日）份额规模1.8447亿份（截止至：2025年06月30日）,份额规模,1.8447亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,工商银行
基金经理人,黄继晨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.60%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*50%+中证港股通综合指数(人民币)*20%+中债综合财富(总值)指数收益率*30%,跟踪标的,该基金无跟踪标的
