基金全称,易方达丰华债券型证券投资基金,基金简称,易方达丰华债券A
基金代码,000189（前端）基金类型债券型-混合二级,基金类型,债券型-混合二级
发行日期,2016年01月11日,成立日期/规模,2016年01月13日 / 46.341亿份
资产规模,11.86亿元（截止至：2025年06月30日）份额规模8.9329亿份（截止至：2025年06月30日）,份额规模,8.9329亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,招商银行
基金经理人,王成、李中阳,成立来分红,每份累计0.17元（3次）
管理费率,0.80%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率×10%+中债总指数收益率×90%,跟踪标的,该基金无跟踪标的
