基金全称,中邮信息产业灵活配置混合型证券投资基金,基金简称,中邮信息产业灵活配置混合A
基金代码,001227（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月11日,成立日期/规模,2015年05月14日 / 126.023亿份
资产规模,8.07亿元（截止至：2025年06月30日）份额规模7.7129亿份（截止至：2025年06月30日）,份额规模,7.7129亿份（截止至：2025年06月30日）
基金管理人,中邮基金,基金托管人,农业银行
基金经理人,周楠,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证信息技术指数*60%+上证国债指数*40%,跟踪标的,该基金无跟踪标的
