基金全称,平安先进制造主题股票型发起式证券投资基金,基金简称,平安先进制造主题股票发起A
基金代码,019457（前端）基金类型股票型,基金类型,股票型
发行日期,2023年10月09日,成立日期/规模,2023年10月24日 / 0.111亿份
资产规模,4.30亿元（截止至：2025年06月30日）份额规模2.654亿份（截止至：2025年06月30日）,份额规模,2.654亿份（截止至：2025年06月30日）
基金管理人,平安基金,基金托管人,招商银行
基金经理人,张荫先,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证智能制造主题指数收益率*85%+中证全债指数收益率*10%+恒生指数收益率(经汇率调整)*5%,跟踪标的,该基金无跟踪标的
