基金全称,富国创新企业灵活配置混合型证券投资基金(LOF),基金简称,富国创新企业灵活配置混合(LOF)A
基金代码,501077（主代码）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年06月05日,成立日期/规模,2019年06月11日 / 9.885亿份
资产规模,7.33亿元（截止至：2025年06月30日）份额规模3.8064亿份（截止至：2025年06月30日）,份额规模,3.8064亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,招商银行
基金经理人,孙权,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证TMT产业主题指数收益率*60%+中证全债指数收益率*40%,跟踪标的,该基金无跟踪标的
