基金全称,银河价值成长混合型证券投资基金,基金简称,银河价值成长混合A
基金代码,016340（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年09月26日,成立日期/规模,2022年11月09日 / 2.519亿份
资产规模,0.42亿元（截止至：2025年09月30日）份额规模0.3816亿份（截止至：2025年09月30日）,份额规模,0.3816亿份（截止至：2025年09月30日）
基金管理人,银河基金,基金托管人,建设银行
基金经理人,袁曦、金烨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*70%+中证港股通综合指数收益率*10%+中债新综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
