基金全称,南方中证申万有色金属交易型开放式指数证券投资基金发起式联接基金,基金简称,南方中证申万有色金属ETF发起联接A
基金代码,004432（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2017年06月02日,成立日期/规模,2017年09月08日 / 0.259亿份
资产规模,4.56亿元（截止至：2025年06月30日）份额规模3.9251亿份（截止至：2025年06月30日）,份额规模,3.9251亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,工商银行
基金经理人,崔蕾,成立来分红,每份累计0.02元（1次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,中证申万有色金属指数收益率×95%+银行人民币活期存款利率(税后)×5%,跟踪标的,有色金属
