基金全称,富国新兴产业股票型证券投资基金,基金简称,富国新兴产业股票A
基金代码,001048（前端）、001049（后端）基金类型股票型,基金类型,股票型
发行日期,2015年02月25日,成立日期/规模,2015年03月12日 / 59.740亿份
资产规模,31.37亿元（截止至：2025年06月30日）份额规模13.677亿份（截止至：2025年06月30日）,份额规模,13.677亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,孙权,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*80%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
