基金全称,工银瑞信睿智进取股票型基金中基金(FOF-LOF),基金简称,工银睿智进取股票(FOF-LOF)C
基金代码,013933（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2021年11月01日,成立日期/规模,2021年11月24日 / 3.174亿份
资产规模,0.06亿元（截止至：2025年06月30日）份额规模0.0707亿份（截止至：2025年06月30日）,份额规模,0.0707亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,农业银行
基金经理人,周崟,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*90%+中债-新综合财富(总值)指数收益率*10%,跟踪标的,该基金无跟踪标的
