基金全称,华商元亨灵活配置混合型证券投资基金,基金简称,华商元亨混合C
基金代码,019053（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年01月13日,成立日期/规模,2023年08月16日 / --
资产规模,12.14亿元（截止至：2025年06月30日）份额规模6.2695亿份（截止至：2025年06月30日）,份额规模,6.2695亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,国泰海通
基金经理人,胡中原,成立来分红,每份累计0.32元（2次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*65%+上证国债指数收益率*35%,跟踪标的,该基金无跟踪标的
