基金全称,嘉实中证稀土产业交易型开放式指数证券投资基金发起式联接基金,基金简称,嘉实中证稀土产业ETF联接A
基金代码,011035（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年07月19日,成立日期/规模,2021年08月03日 / 1.940亿份
资产规模,4.49亿元（截止至：2025年06月30日）份额规模5.333亿份（截止至：2025年06月30日）,份额规模,5.333亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,建设银行
基金经理人,田光远,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证稀土产业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证稀土产业指数
