基金全称,中加转型动力灵活配置混合型证券投资基金,基金简称,中加转型动力混合C
基金代码,005776（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年08月06日,成立日期/规模,2018年09月05日 / 6.082亿份
资产规模,0.18亿元（截止至：2025年06月30日）份额规模0.0737亿份（截止至：2025年06月30日）,份额规模,0.0737亿份（截止至：2025年06月30日）
基金管理人,中加基金,基金托管人,工商银行
基金经理人,张一然,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×60%+中债总全价指数收益率×40%,跟踪标的,该基金无跟踪标的
