基金全称,长城久祥灵活配置混合型证券投资基金,基金简称,长城久祥混合A
基金代码,001613（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年10月22日,成立日期/规模,2015年11月09日 / 29.792亿份
资产规模,0.46亿元（截止至：2025年09月30日）份额规模0.29亿份（截止至：2025年09月30日）,份额规模,0.29亿份（截止至：2025年09月30日）
基金管理人,长城基金,基金托管人,中国银行
基金经理人,刘疆,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率*55%+中债总财富指数收益率*45%,跟踪标的,该基金无跟踪标的
