基金全称,富国创新科技混合型证券投资基金,基金简称,富国创新科技混合A
基金代码,002692（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2016年05月19日,成立日期/规模,2016年06月16日 / 2.678亿份
资产规模,23.77亿元（截止至：2025年06月30日）份额规模17.1517亿份（截止至：2025年06月30日）,份额规模,17.1517亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,罗擎,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证TMT产业主题指数*60%+中证全债指数收益率*40%,跟踪标的,该基金无跟踪标的
