基金全称,华安新能源主题混合型证券投资基金,基金简称,华安新能源主题混合A
基金代码,014541（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年04月11日,成立日期/规模,2022年05月11日 / 2.361亿份
资产规模,0.74亿元（截止至：2025年06月30日）份额规模1.0052亿份（截止至：2025年06月30日）,份额规模,1.0052亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,建设银行
基金经理人,熊哲颖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证新能源指数收益率*65%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
