基金全称,南方平衡配置混合型证券投资基金,基金简称,南方平衡配置混合
基金代码,202212（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2011年05月27日,成立日期/规模,2011年06月21日 / 49.607亿份
资产规模,1.81亿元（截止至：2025年06月30日）份额规模0.809亿份（截止至：2025年06月30日）,份额规模,0.809亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,农业银行
基金经理人,万朝辉,成立来分红,每份累计0.11元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率×50%+中证全债指数收益率×50%,跟踪标的,该基金无跟踪标的
