基金全称,易方达策略成长证券投资基金,基金简称,易方达策略成长混合
基金代码,110002（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2003年10月30日,成立日期/规模,2003年12月09日 / 20.351亿份
资产规模,7.82亿元（截止至：2025年06月30日）份额规模2.2638亿份（截止至：2025年06月30日）,份额规模,2.2638亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,中国银行
基金经理人,张琦,成立来分红,每份累计2.08元（53次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,上证A指收益率×75% + 上证国债指数收益率×25%,跟踪标的,该基金无跟踪标的
