基金全称,建信新材料精选股票型发起式证券投资基金,基金简称,建信新材料精选股票发起A
基金代码,018194（前端）基金类型股票型,基金类型,股票型
发行日期,2023年08月11日,成立日期/规模,2023年08月22日 / 0.119亿份
资产规模,0.52亿元（截止至：2025年09月30日）份额规模0.2759亿份（截止至：2025年09月30日）,份额规模,0.2759亿份（截止至：2025年09月30日）
基金管理人,建信基金,基金托管人,招商银行
基金经理人,李梦媛,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证新材料主题指数收益率*75%+中证港股通综合指数收益率*15%+中债总指数收益率*10%,跟踪标的,该基金无跟踪标的
