基金全称,华夏软件龙头混合型发起式证券投资基金,基金简称,华夏软件龙头混合发起式A
基金代码,020593（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年05月06日,成立日期/规模,2024年06月04日 / 0.214亿份
资产规模,0.22亿元（截止至：2025年06月30日）份额规模0.155亿份（截止至：2025年06月30日）,份额规模,0.155亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,苏州银行
基金经理人,屠环宇、施知序,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证全指软件指数收益率*70%+中证港股通综合指数收益率*10%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
