基金全称,华安沪港深外延增长灵活配置混合型证券投资基金,基金简称,华安沪港深外延增长灵活配置混合C
基金代码,014972（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年01月25日,成立日期/规模,2022年05月10日 / --
资产规模,1.90亿元（截止至：2025年06月30日）份额规模0.4845亿份（截止至：2025年06月30日）,份额规模,0.4845亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,建设银行
基金经理人,胡宜斌,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*50%+中国债券总指数收益率*50%,跟踪标的,该基金无跟踪标的
