基金全称,华商高端装备制造股票型证券投资基金,基金简称,华商高端装备制造股票C
基金代码,016050（前端）基金类型股票型,基金类型,股票型
发行日期,2019年11月18日,成立日期/规模,2022年07月07日 / --
资产规模,0.05亿元（截止至：2025年06月30日）份额规模0.0213亿份（截止至：2025年06月30日）,份额规模,0.0213亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,中国银行
基金经理人,陈夏琼、彭雾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证高端装备制造指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,跟踪标的,该基金无跟踪标的
