基金全称,富国蓝筹精选股票型证券投资基金(QDII),基金简称,富国蓝筹精选股票(QDII)人民币
基金代码,007455（前端）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2019年06月13日,成立日期/规模,2019年08月02日 / 2.477亿份
资产规模,14.63亿元（截止至：2025年06月30日）份额规模5.4258亿份（截止至：2025年06月30日）,份额规模,5.4258亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,招商银行
基金经理人,张峰、宁君,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,MSCI中国指数收益率*90%+人民币活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
