基金全称,嘉实智能汽车股票型证券投资基金,基金简称,嘉实智能汽车股票
基金代码,002168（前端）基金类型股票型,基金类型,股票型
发行日期,2015年12月24日,成立日期/规模,2016年02月04日 / 2.290亿份
资产规模,24.63亿元（截止至：2025年06月30日）份额规模11.7186亿份（截止至：2025年06月30日）,份额规模,11.7186亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,工商银行
基金经理人,姚志鹏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中信汽车行业指数收益率*80%+中债总指数收益率*20%,跟踪标的,该基金无跟踪标的
