基金全称,泓德卓远混合型证券投资基金,基金简称,泓德卓远混合C
基金代码,010865（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年12月18日,成立日期/规模,2020年12月22日 / 49.599亿份
资产规模,8.12亿元（截止至：2025年09月30日）份额规模10.545亿份（截止至：2025年09月30日）,份额规模,10.545亿份（截止至：2025年09月30日）
基金管理人,泓德基金,基金托管人,招商银行
基金经理人,于浩成,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率×70%+中证港股通综合指数收益率×10%+中国债券综合全价指数收益率×20%,跟踪标的,该基金无跟踪标的
