基金全称,平安优势回报1年持有期混合型证券投资基金,基金简称,平安优势回报1年持有混合A
基金代码,012985（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月09日,成立日期/规模,2021年08月24日 / 21.693亿份
资产规模,6.70亿元（截止至：2025年06月30日）份额规模9.6363亿份（截止至：2025年06月30日）,份额规模,9.6363亿份（截止至：2025年06月30日）
基金管理人,平安基金,基金托管人,平安银行
基金经理人,黄维,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,跟踪标的,该基金无跟踪标的
