基金全称,工银瑞信智能制造股票型证券投资基金,基金简称,工银智能制造股票A
基金代码,002861（前端）基金类型股票型,基金类型,股票型
发行日期,2017年04月24日,成立日期/规模,2017年06月21日 / 3.837亿份
资产规模,2.12亿元（截止至：2025年06月30日）份额规模1.2759亿份（截止至：2025年06月30日）,份额规模,1.2759亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,建设银行
基金经理人,李劭钊,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证高端装备制造指数收益率*85%+中债综合财富(总值)指数收益率*15%,跟踪标的,该基金无跟踪标的
