基金全称,易方达中证消费电子主题交易型开放式指数证券投资基金发起式联接基金,基金简称,易方达消费电子ETF联接A
基金代码,018896（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年09月13日,成立日期/规模,2023年10月17日 / 0.161亿份
资产规模,0.61亿元（截止至：2025年06月30日）份额规模0.4773亿份（截止至：2025年06月30日）,份额规模,0.4773亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,浦发银行
基金经理人,李博扬,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,中证消费电子主题指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,中证消费电子主题指数
