基金全称,东吴配置优化灵活配置混合型证券投资基金,基金简称,东吴配置优化混合A
基金代码,582003（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2012年07月11日,成立日期/规模,2012年08月13日 / 7.757亿份
资产规模,0.37亿元（截止至：2025年06月30日）份额规模0.2627亿份（截止至：2025年06月30日）,份额规模,0.2627亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,农业银行
基金经理人,周健,成立来分红,每份累计0.22元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率*50%+中国债券综合全价指数收益率*50%,跟踪标的,该基金无跟踪标的
