基金全称,恒越蓝筹精选混合型证券投资基金,基金简称,恒越蓝筹精选混合
基金代码,012846（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月02日,成立日期/规模,2021年08月17日 / 9.014亿份
资产规模,3.85亿元（截止至：2025年06月30日）份额规模3.703亿份（截止至：2025年06月30日）,份额规模,3.703亿份（截止至：2025年06月30日）
基金管理人,恒越基金,基金托管人,江苏银行
基金经理人,赵小燕,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+中证香港100指数收益率*10%+中债总全价指数收益率*20%,跟踪标的,该基金无跟踪标的
