基金全称,博时沪港深优质企业灵活配置混合型证券投资基金,基金简称,博时沪港深优质企业基金A
基金代码,001215（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年04月21日,成立日期/规模,2015年05月14日 / 23.223亿份
资产规模,1.55亿元（截止至：2025年06月30日）份额规模1.3843亿份（截止至：2025年06月30日）,份额规模,1.3843亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,招商银行
基金经理人,曾鹏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国债券总财富指数收益率×40%+中证500指数收益率×40%+恒生综合指数收益率×20%,跟踪标的,该基金无跟踪标的
