基金全称,天治趋势精选灵活配置混合型证券投资基金,基金简称,天治趋势精选混合
基金代码,350007（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2009年06月10日,成立日期/规模,2009年07月15日 / 5.260亿份
资产规模,0.09亿元（截止至：2025年09月30日）份额规模0.0913亿份（截止至：2025年09月30日）,份额规模,0.0913亿份（截止至：2025年09月30日）
基金管理人,天治基金,基金托管人,建设银行
基金经理人,梁莉,成立来分红,每份累计0.43元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率×50%+1年期定期存款利率(税后)×50%,跟踪标的,该基金无跟踪标的
