基金全称,中欧科创主题混合型证券投资基金(LOF),基金简称,中欧科创主题混合(LOF)C
基金代码,017290（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年06月24日,成立日期/规模,2022年11月22日 / --
资产规模,31.74亿元（截止至：2025年09月30日）份额规模10.3191亿份（截止至：2025年09月30日）,份额规模,10.3191亿份（截止至：2025年09月30日）
基金管理人,中欧基金,基金托管人,招商银行
基金经理人,邵洁,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*50%+恒生指数收益率*10%+中债综合指数收益率*40%,跟踪标的,该基金无跟踪标的
