基金全称,永赢融安混合型证券投资基金,基金简称,永赢融安混合C
基金代码,020758（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年07月26日,成立日期/规模,2024年08月23日 / 3.406亿份
资产规模,0.40亿元（截止至：2025年06月30日）份额规模0.3032亿份（截止至：2025年06月30日）,份额规模,0.3032亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,中国银行
基金经理人,高楠,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*10%+中债-综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
