基金全称,诺安和鑫灵活配置混合型证券投资基金,基金简称,诺安和鑫混合A
基金代码,002560（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年04月01日,成立日期/规模,2016年04月28日 / 49.814亿份
资产规模,30.28亿元（截止至：2025年06月30日）份额规模18.086亿份（截止至：2025年06月30日）,份额规模,18.086亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,交通银行
基金经理人,陈衍鹏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数*60%+中证全债指数*40%,跟踪标的,该基金无跟踪标的
